"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654606494704106E9,"2022-06-07 14:54:54.704 UTC+02:00"
"PAUSE",3.132135783333215E2,1.654606807903075E9,"2022-06-07 15:00:07.903 UTC+02:00"
