"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654605421140297E9,"2022-06-07 14:37:01.140 UTC+02:00"
"PAUSE",3.057254733333248E2,1.654605726869979E9,"2022-06-07 14:42:06.870 UTC+02:00"
