Time (s),X (hPa)
1654620159388975104,1010.787735
1654620160390680064,1010.822525
1654620161392335104,1010.822525
1654620162394103296,1010.800705
1654620163395955968,1010.800705
1654620164397793280,1010.805435
1654620165399381248,1010.805435
1654620166401169152,1010.783234
1654620167402881024,1010.783234
1654620168404475136,1010.814972
1654620169406146048,1010.82283
1654620170407949056,1010.846405
1654620171409651200,1010.846405
1654620172411630080,1010.835495
1654620173413364224,1010.827484
1654620174415371264,1010.813065
1654620175417062144,1010.779495
1654620176419040256,1010.738602
1654620177421232128,1010.738602
1654620178422190080,1010.782394
1654620179423840256,1010.7827
1654620180425762304,1010.797501
1654620181427603968,1010.812225
1654620182429123072,1010.818405
1654620183430819328,1010.818405
1654620184433109248,1010.804596
1654620185434423040,1010.804596
1654620186435938048,1010.822601
1654620187437867264,1010.845718
1654620188439589888,1010.867996
1654620189441330176,1010.886154
1654620190442934272,1010.900955
1654620191444723968,1010.952072
1654620192446771200,1010.952072
1654620193449456128,1010.920792
1654620194450496256,1010.906143
1654620195452156160,1010.891724
1654620196454198016,1010.870819
1654620197456017920,1010.831604
1654620198457947136,1010.811539
1654620199459569152,1010.785294
1654620200461147904,1010.753479
1654620201463132160,1010.753479
1654620202464657152,1010.75592
1654620203467061248,1010.75592
1654620204468785408,1010.7444
1654620205469830912,1010.7444
1654620206471530240,1010.814362
1654620207473306112,1010.912933
1654620208475261184,1010.999908
1654620209476498176,1011.028061
1654620210478665984,1011.028061
1654620211480328192,1011.004639
1654620212481994240,1010.952225
1654620213483681024,1010.871887
1654620214485485056,1010.836792
1654620215487198208,1010.836792
1654620216488982272,1010.843735
1654620217490696192,1010.859146
1654620218492408320,1010.866394
1654620219494315264,1010.869522
1654620220496057088,1010.869598
1654620221498022144,1010.869598
1654620222499613952,1010.864639
1654620223501372160,1010.854568
1654620224503473920,1010.808868
1654620225504788224,1010.757141
1654620226506652160,1010.724792
1654620227508422144,1010.716629
1654620228509999872,1010.69458
1654620229511940352,1010.689316
1654620230513777920,1010.621872
1654620231515470336,1010.559006
1654620232517255936,1010.528183
1654620233518669056,1010.509033
1654620234520282880,1010.503235
1654620235522022144,1010.503235
1654620236523725312,1010.511322
1654620237525479936,1010.522766
1654620238527294208,1010.541153
1654620239529263360,1010.561371
1654620240531018240,1010.561371
1654620241532748288,1010.557938
1654620242534443264,1010.557938
1654620243536322048,1010.558548
1654620244537824256,1010.737
1654620245539373056,1010.829773
1654620246541224192,1010.829773
1654620247543097344,1010.813141
1654620248545090048,1010.784836
1654620249546768128,1010.672455
1654620250548652288,1010.618286
1654620251550278144,1010.618286
1654620252551921152,1010.705032
1654620253553925888,1010.71701
1654620254556000256,1010.738831
1654620255557889280,1010.754166
1654620256559635200,1010.768738
1654620257561321216,1010.785141
1654620258562950144,1010.786591
1654620259564798208,1010.818329
1654620260566387200,1010.835495
1654620261568176128,1010.840988
1654620262570041088,1010.856857
1654620263572174080,1010.905838
1654620264574065152,1010.979614
1654620265575734016,1011.049118
1654620266577773056,1011.060715
1654620267579763200,1011.099319
