Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654624755155612160,52.31847051,4.945938363,0.916747931,4.66958964,247.2183934,4.856993765,4.856993765
1654624756155610880,52.31843129,4.945874937,0.591203076,5.20953855,235.7860143,4.873508428,4.873508428
1654624757155608576,52.31840915,4.945823818,0.724273969,4.761479858,239.1256465,4.878257753,4.878257753
1654624758155607552,52.31838558,4.945760292,0.729728248,4.969332134,237.1496607,4.878390318,4.878390318
1654624759155605504,52.31836994,4.945691429,0.615087506,4.742451383,243.5668989,4.880095,4.880095
1654624760155602944,52.31834507,4.945620717,0.448029143,5.039172023,241.6451028,4.879895062,4.879895062
1654624761155600896,52.31832369,4.94554757,0.17464275,5.097043844,241.1588691,4.875845652,4.875845652
1654624762155599360,52.31830773,4.945481648,0.140567831,4.668409452,245.2291167,4.862650186,4.862650186
1654624763155596032,52.31829073,4.945406287,-0.036747233,4.808102139,247.3329365,4.863723359,4.863723359
1654624764155593216,52.31826793,4.945333387,0.08270678,5.006358331,242.4341455,4.865439501,4.865439501
1654624765155591168,52.31824518,4.94524582,0.039227056,5.301340965,242.9096013,4.864780633,4.864780633
1654624766155588864,52.31822973,4.945175803,0.184759885,4.912464167,244.3655962,4.867621329,4.867621329
1654624767155585280,52.31819895,4.94510317,0.05904528,5.38810008,235.9556057,4.865798208,4.865798208
1654624768155582976,52.31817932,4.945042839,0.044360731,4.891157579,237.7507815,4.863310107,4.863310107
1654624769155579392,52.31816579,4.944975941,0.212957683,4.505852175,245.7459765,4.861343691,4.861343691
1654624770155577600,52.31813949,4.944936001,0.670695242,4.389298052,241.6809948,4.857255226,4.857255226
1654624771155574784,52.31811602,4.944870879,0.480860191,4.594173116,244.4508566,4.858937953,4.858937953
1654624772155571712,52.31809204,4.944800212,0.159790819,5.01622278,244.4744251,4.856754188,4.856754188
1654624773155569408,52.31807078,4.944740111,0.236670584,4.665774472,246.9952359,4.854884476,4.854884476
1654624774155565568,52.31805128,4.94468576,0.178849651,4.308898652,243.5221698,4.859287361,4.859287361
1654624775155562752,52.31802112,4.944628834,0.233536577,4.581045084,238.2760808,4.861048308,4.861048308
1654624776155559424,52.31799228,4.944571238,0.522621888,4.748591263,238.0841879,4.861164964,4.861164964
1654624777155556096,52.31796999,4.944525708,1.334102867,4.364410012,235.2832799,4.874111039,4.874111039
1654624778155554304,52.31793716,4.944459907,1.545019927,4.854179914,231.7314851,4.85784711,4.85784711
1654624779155550208,52.31792091,4.944399729,1.50861153,4.060614109,239.9739446,4.855832088,4.855832088
1654624780155547392,52.31789971,4.944320815,1.797991951,4.447991575,240.0788483,4.832970969,4.832970969
1654624781155543552,52.31788716,4.944243269,1.957670601,4.618443427,243.0583139,4.832087604,4.832087604
1654624782155539968,52.3178623,4.94417494,1.861626592,4.795267489,237.6132433,4.841689978,4.841689978
1654624783155537664,52.31783721,4.944103406,1.717786082,4.882744481,235.9868069,4.835344907,4.835344907
1654624784155533312,52.31782855,4.944035667,1.978151825,4.489419632,243.8174922,4.840351079,4.840351079
1654624785155529472,52.31781047,4.94396605,1.985938265,4.619283442,240.0182235,4.835670681,4.835670681
1654624786155527168,52.31779583,4.943909389,2.034102098,3.913269561,243.1918254,4.837081506,4.837081506
1654624787155524096,52.31776259,4.943850388,1.495394805,4.519983775,229.3795708,4.832159253,4.832159253
1654624788155520512,52.31775532,4.943784452,1.559708057,4.077037993,251.177404,4.832569486,4.832569486
1654624789155517184,52.31774391,4.943712704,1.000092646,4.281903875,254.3249985,4.829372841,4.829372841
1654624790155513344,52.31774811,4.943666587,0.368778277,3.840519157,280.1305087,4.820990256,4.820990256
1654624791155509760,52.31777275,4.943638218,1.045272032,3.973632637,319.2857919,4.798480434,4.798480434
1654624792155506688,52.31778926,4.943615985,1.185258928,4.082192491,332.0128417,4.785408589,4.785408589
1654624793155503360,52.31780085,4.943589479,0.792870662,3.670095211,329.224913,4.785930014,4.785930014
1654624794155499264,52.31783335,4.943555473,1.008805728,4.280812357,331.0114648,4.798032493,4.798032493
1654624795155496448,52.31784911,4.943518877,1.605111627,3.7550809,320.6080338,4.80053798,4.80053798
1654624796155492352,52.31787879,4.943500468,2.049591053,3.700040849,330.993546,4.820951687,4.820951687
1654624797155488768,52.31790874,4.943470626,2.061099035,3.909060147,329.7257894,4.833803047,4.833803047
1654624798155485440,52.31793879,4.943440411,1.729563095,3.718497494,329.1813564,4.847709709,4.847709709
1654624799155482368,52.317952,4.943353882,1.470095061,3.9819446,296.984438,4.847705406,4.847705406
1654624800155478016,52.31793755,4.943256684,1.281107713,4.201867577,262.557886,4.847163324,4.847163324
1654624801155474688,52.31792176,4.943193857,1.414681125,3.93639974,247.0885229,4.846789545,4.846789545
1654624802155470592,52.31791101,4.94311957,1.557344063,3.827112097,250.65606,4.85060987,4.85060987
1654624803155468288,52.31789614,4.943061891,1.6591856,3.774207581,244.8712227,4.86164104,4.86164104
1654624804155464448,52.31788281,4.94300117,1.771666502,3.879232188,244.8384763,4.861103507,4.861103507
