Time (s),X (hPa)
1654618685371720192,1011.301575
1654618686373747968,1011.295929
1654618687375736832,1011.295929
1654618688377306112,1011.299362
1654618689378981120,1011.299362
1654618690380893952,1011.294632
1654618691382484992,1011.294632
1654618692384644864,1011.294785
1654618693386344960,1011.296463
1654618694388407040,1011.298599
1654618695390132992,1011.305008
1654618696392019968,1011.308289
1654618697394081024,1011.309738
1654618698395990016,1011.314468
1654618699397728000,1011.317444
1654618700399667968,1011.332855
1654618701402023936,1011.334
1654618702404005120,1011.344528
1654618703405724928,1011.344681
1654618704407689216,1011.352386
1654618705409181952,1011.356049
1654618706411212800,1011.364594
1654618707412726016,1011.364594
1654618708414632960,1011.350555
1654618709416327936,1011.333466
1654618710418252032,1011.316605
1654618711420587008,1011.29921
1654618712422596096,1011.271057
1654618713424488192,1011.270142
1654618714426551040,1011.264801
1654618715428389120,1011.252975
1654618716430269952,1011.247025
1654618717432182016,1011.247025
1654618718434128128,1011.247025
1654618719435944192,1011.248627
1654618720438093824,1011.250076
1654618721439845120,1011.250076
1654618722441960192,1011.244659
1654618723443717120,1011.232147
1654618724445935872,1011.226807
1654618725447755008,1011.225891
1654618726449497088,1011.224899
1654618727451604992,1011.224899
1654618728453454080,1011.248245
1654618729455079936,1011.278
1654618730456912896,1011.292801
1654618731458358016,1011.310425
1654618732460238848,1011.33606
1654618733462049024,1011.33606
1654618734463779072,1011.331787
1654618735465982976,1011.325912
1654618736467613952,1011.323929
1654618737469570048,1011.299057
1654618738471681024,1011.290054
1654618739473300992,1011.263428
1654618740475099136,1011.254349
1654618741477121024,1011.240692
1654618742479200000,1011.236267
1654618743481005824,1011.236267
1654618744483155968,1011.250534
1654618745484997888,1011.264572
1654618746486989056,1011.273346
1654618747488840960,1011.289368
1654618748491508992,1011.293259
1654618749493199104,1011.2957
1654618750495229952,1011.298904
1654618751496984064,1011.300888
1654618752498821120,1011.304474
1654618753500334080,1011.304474
1654618754501995008,1011.287079
1654618755503922944,1011.282043
1654618756506268928,1011.278915
1654618757508142080,1011.277618
1654618758509572096,1011.277618
1654618759511703040,1011.277618
1654618760513505024,1011.257172
1654618761515620864,1011.244125
1654618762517587968,1011.244125
1654618763519539200,1011.250458
1654618764521325056,1011.270905
1654618765523021824,1011.286621
1654618766525207040,1011.296158
1654618767527194880,1011.296158
1654618768529488128,1011.281433
1654618769531176192,1011.253891
1654618770533304832,1011.24527
1654618771535380992,1011.24527
1654618772537614080,1011.249161
1654618773539456000,1011.251831
1654618774541286912,1011.269608
1654618775543384064,1011.281662
