Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487973552128,-0.216313034,-0.059260532,-0.136199221
1654618487983483136,-0.208721161,-0.024605881,-0.136823997
1654618487993414144,-0.207167387,0.020967808,-0.135913044
1654618488003346176,-0.2135185,0.048552033,-0.146339297
1654618488013276928,-0.217697695,0.057292782,-0.162519515
1654618488023208192,-0.206699371,0.024632039,-0.160819873
1654618488033140224,-0.188363299,-0.04662298,-0.141953394
1654618488043071232,-0.175304219,-0.122595772,-0.10900902
1654618488053003008,-0.167303532,-0.167608947,-0.07597921
1654618488062934272,-0.169543251,-0.156581596,-0.059830602
1654618488072865280,-0.155910254,-0.100402474,-0.050808344
1654618488082797056,-0.138476402,-0.089052886,-0.06610927
1654618488092728064,-0.144299984,-0.08357361,-0.079186708
1654618488102660096,-0.183195174,-0.087600842,-0.104374088
1654618488112591360,-0.224886268,-0.105594471,-0.137267083
1654618488122522112,-0.233346328,-0.162804231,-0.165504843
1654618488132454144,-0.211733386,-0.239824638,-0.157062531
1654618488142385152,-0.18383491,-0.280884445,-0.110840164
1654618488152317184,-0.166449189,-0.262517601,-0.070879787
1654618488162248192,-0.140691891,-0.201906204,-0.075868689
1654618488172179200,-0.095319949,-0.12215393,-0.088486396
1654618488182111232,-0.061757728,-0.07523676,-0.097442873
1654618488192042240,-0.06599851,-0.074007846,-0.084882654
1654618488201973248,-0.094196327,-0.107602023,-0.066513501
1654618488211905280,-0.124062538,-0.135884345,-0.064452291
1654618488221836032,-0.145286873,-0.158487126,-0.0951612
1654618488231768064,-0.16378668,-0.152038544,-0.13806355
1654618488241699328,-0.157526657,-0.147107974,-0.171239346
1654618488251630080,-0.136025101,-0.144806802,-0.181136504
1654618488261562112,-0.109449938,-0.139684483,-0.161097542
1654618488271493120,-0.068504825,-0.15512982,-0.123205304
1654618488281425152,-0.011841808,-0.179936633,-0.072406039
1654618488291356160,0.048126262,-0.19908686,-0.027431235
1654618488301287168,0.075360805,-0.180352062,0.005196483
1654618488311219200,0.071198747,-0.152470753,0.006889504
1654618488321149952,0.040175311,-0.117857657,-0.017545
1654618488331081984,-0.003094876,-0.085594237,-0.064423487
1654618488341013248,-0.045492932,-0.070368677,-0.10846258
1654618488350944256,-0.065508403,-0.088507503,-0.151772216
1654618488360875776,-0.05455349,-0.141466856,-0.172605857
1654618488370807040,-0.008856816,-0.216789991,-0.147339761
1654618488380739072,0.066632882,-0.289191485,-0.070052706
1654618488390669824,0.133299142,-0.360707611,0.047307264
1654618488400600832,0.195831493,-0.389237523,0.145124376
1654618488410532864,0.240347683,-0.38669008,0.203150332
1654618488420463872,0.263686031,-0.38026014,0.231349483
1654618488430395904,0.257799119,-0.375252873,0.262612879
1654618488440326912,0.274892598,-0.409005761,0.316473186
1654618488450257920,0.299448848,-0.50526613,0.392421901
1654618488460189696,0.336819917,-0.638462007,0.52533865
1654618488470120960,0.382522136,-0.836939335,0.705630183
1654618488480052992,0.461353034,-1.134280205,0.936356604
1654618488489984000,0.628693163,-1.562998652,1.197514772
1654618488499915008,0.885053337,-2.128933907,1.502772689
1654618488509847040,1.147708297,-2.758530617,1.848370314
1654618488519778048,1.336584926,-3.279098749,2.243946075
1654618488529709824,1.401688814,-3.668957233,2.597151995
1654618488539640832,1.359332681,-3.883390665,2.782885075
1654618488549572096,1.257737637,-3.970131636,2.779537678
1654618488559504128,1.122686386,-4.022881031,2.65950489
1654618488569434880,1.027181268,-4.082637787,2.529718399
1654618488579366912,0.984345615,-4.16076088,2.468498707
1654618488589297920,0.944727361,-4.243892193,2.47603941
1654618488599228928,0.885358572,-4.3113904,2.530893564
1654618488609160960,0.782037318,-4.2496562,2.629721642
1654618488619091968,0.60515976,-4.18219471,2.661973476
1654618488629024000,0.373628497,-4.044234753,2.576099157
1654618488638954752,0.130148456,-3.81705451,2.372826099
1654618488648886016,-0.122958526,-3.478086233,2.10282135
1654618488658818048,-0.308630943,-2.823740721,1.732762218
1654618488668748800,-0.434873492,-2.219887495,1.287878036
1654618488678680832,-0.522821188,-1.670265913,0.852971315
1654618488688612096,-0.563673377,-1.106230497,0.446527869
1654618488698542848,-0.589620233,-0.547542989,0.164005891
