"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654608257581041E9,"2022-06-07 15:24:17.581 UTC+02:00"
"PAUSE",3.063967857916723E2,1.654608563981800E9,"2022-06-07 15:29:23.982 UTC+02:00"
