Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618487998089728,-0.185260817,0.065470703,-0.509408593
1654618488008021760,-0.302524805,0.02875055,-0.60711503
1654618488017954816,-0.432565898,-0.002891265,-0.689572394
1654618488027887872,-0.555828095,-0.011591933,-0.770250738
1654618488037819904,-0.667357326,-0.009846497,-0.839842558
1654618488047752960,-0.755322278,-0.014518059,-0.886526465
1654618488057684992,-0.758610249,-0.042741705,-0.926073074
1654618488067617792,-0.725477457,0.034769893,-0.928750992
1654618488077550848,-0.735796154,0.05410764,-0.934956431
1654618488087482880,-0.737946749,0.039548516,-0.932021558
1654618488097415936,-0.566083908,0.091552332,-0.901695073
1654618488107348992,-0.203491584,0.331651211,-0.840539932
1654618488117280768,0.237439483,0.402092636,-0.756730259
1654618488127213824,0.688985407,0.473352581,-0.632937968
1654618488137146880,1.048515081,0.410595715,-0.457323849
1654618488147078656,1.136844277,0.190727592,-0.315916479
1654618488157011712,0.94500047,-0.093940631,-0.225198537
1654618488166944768,0.534386277,-0.260806918,-0.206398368
1654618488176876800,0.022383451,-0.247546762,-0.280424386
1654618488186809856,-0.500956059,-0.188561127,-0.422944129
1654618488196741888,-0.882979333,-0.138779178,-0.570471525
1654618488206674688,-1.017040849,-0.133581936,-0.67276001
1654618488216607744,-0.9869802,-0.176475614,-0.715331197
1654618488226543104,-0.869671941,-0.159199417,-0.7063936
1654618488236476160,-0.712377131,-0.090609439,-0.665246427
1654618488246409216,-0.535683513,-0.026391694,-0.617272556
1654618488256341248,-0.334999651,0.034286302,-0.573461652
1654618488266274304,-0.140444458,0.117160082,-0.571155787
1654618488276207104,0.006527402,0.193978414,-0.606477797
1654618488286139136,0.099908985,0.234826118,-0.633477449
1654618488296072192,0.11839132,0.269827247,-0.605627179
1654618488306005248,0.045918893,0.371420234,-0.535207152
1654618488315937280,-0.09653759,0.536615014,-0.458209097
1654618488325870336,-0.206155479,0.658418059,-0.417100757
1654618488335802112,-0.156779409,0.74659425,-0.414910853
1654618488345735168,0.060384221,0.740314543,-0.421898872
1654618488355667968,0.322933555,0.575789511,-0.420797914
1654618488365600000,0.522100389,0.391635388,-0.345286816
1654618488375533056,0.522604525,0.235924348,-0.247047886
1654618488385466112,0.335702002,0.197852433,-0.196099982
1654618488395398144,0.016750887,0.323681742,-0.184301645
1654618488405331200,-0.358168542,0.54600811,-0.189095482
1654618488415264256,-0.668809235,0.782816112,-0.230310306
1654618488425196288,-0.827368319,0.974450052,-0.295690209
1654618488435129088,-0.861847162,1.071644306,-0.336940974
1654618488445062144,-0.733619928,1.074621558,-0.337530136
1654618488454994176,-0.414172709,0.946124315,-0.303474426
1654618488464927232,-0.020337157,0.920083821,-0.243160337
1654618488474859264,0.363967359,1.033326983,-0.160626054
1654618488484792320,0.507691324,1.113962173,-0.175266892
1654618488494725120,0.448924989,1.04590559,-0.323996991
1654618488504657152,0.345697463,0.929650426,-0.513633847
1654618488514590208,0.202697158,0.747585774,-0.658327401
1654618488524523264,0.004152898,0.459050685,-0.707011581
1654618488534455040,-0.323301673,0.151196733,-0.663116336
1654618488544388096,-0.756675243,-0.114067599,-0.54366231
1654618488554321152,-1.149790287,-0.299505085,-0.436470836
1654618488564253184,-1.425445914,-0.417786807,-0.462833047
1654618488574185984,-1.518707752,-0.395145148,-0.583669722
1654618488584118016,-1.393582344,-0.264046937,-0.748887122
1654618488594051072,-1.1400038,-0.08762823,-0.925319195
1654618488603984128,-0.964185,-0.006458531,-1.047368169
1654618488613916160,-0.906593084,0.134665564,-1.058942795
1654618488623849216,-0.788882852,-0.040375985,-0.876777828
1654618488633782272,-0.702258766,-0.095901296,-0.525340438
1654618488643714304,-0.555714488,-0.246351481,-0.125120401
