Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654618510442065152,52.31503434,4.953591529,-0.13139502,1.221027136,348.718313,22.59617696,22.59617696
1654618511416193536,52.31505375,4.953576447,-0.209838166,1.221027136,337.5303352,26.23667432,26.23667432
1654618512416314112,52.31507948,4.953561639,-0.248878831,1.472159028,336.3307306,21.42604825,21.42604825
1654618513416452864,52.31510182,4.953546163,-0.270786145,1.472159028,339.2545139,19.18439557,19.18439557
1654618514416585472,52.31512025,4.95353345,-0.231652614,1.472159028,337.230826,21.73312298,21.73312298
1654618515416710656,52.31513772,4.953508822,-0.018345338,1.592113376,335.7587029,21.15779354,21.15779354
1654618516416827392,52.31515473,4.953499422,0.131172695,1.437470555,341.3812193,22.54593953,22.54593953
1654618517416936960,52.3151655,4.953487552,0.150367903,1.621112108,343.8409124,22.80183743,22.80183743
1654618518417039616,52.31518581,4.953485385,0.224730764,1.478476167,346.1564573,6.658815469,6.658815469
1654618519417136640,52.31520209,4.953473701,0.363779384,1.522668123,348.9786092,6.574252727,6.574252727
1654618520417226752,52.3152332,4.953509103,-1.275579127,1.669864116,0.921970858,4.799459542,4.799459542
1654618521417311232,52.31524732,4.953485703,-1.368504302,1.575696982,346.9942784,4.798854802,4.798854802
1654618522417390336,52.31525359,4.953465726,-1.215245187,1.454650036,340.7761331,4.792524443,4.792524443
1654618523417464576,52.31525646,4.953448379,-0.70804417,1.53370769,353.1495439,4.792816671,4.792816671
1654618524417534208,52.3152674,4.953436117,-0.912888669,1.407083578,332.1370938,4.796080974,4.796080974
1654618525417599744,52.31527595,4.953433482,-0.339015877,1.083518303,336.6070109,4.788824697,4.788824697
1654618526417659648,52.31529197,4.953425889,-0.451245723,1.582442173,335.2435299,4.791589799,4.791589799
1654618527417717504,52.31529752,4.953439962,-0.430561255,1.010118832,18.36721785,4.796868844,4.796868844
1654618528417771520,52.31531485,4.953412699,-0.34197362,1.399104457,337.2336056,4.798171493,4.798171493
1654618529417821952,52.31532374,4.953405252,-0.045132687,1.043614513,336.838817,4.801064896,4.801064896
1654618530417868288,52.31532934,4.953398361,0.497968084,1.00490113,321.8078328,4.796079236,4.796079236
1654618531417912576,52.31534167,4.95339892,1.065021878,1.112962274,343.4573518,4.802356241,4.802356241
1654618532417953024,52.31535495,4.953398598,1.010021366,1.132324068,342.6897742,4.801930657,4.801930657
1654618533417992704,52.31536605,4.953389643,0.774314849,1.43836473,331.973639,4.799329075,4.799329075
1654618534418029056,52.31537097,4.953381842,0.495905323,1.167395498,332.8966626,4.802529377,4.802529377
1654618535418063104,52.31538297,4.953373609,0.92982217,1.171002139,346.3713147,4.790399594,4.790399594
1654618536418095360,52.31540228,4.953350255,1.06050893,1.46638292,338.1002649,4.791194831,4.791194831
1654618537418124800,52.31542485,4.953342346,0.502845093,2.056877745,348.552642,4.791174775,4.791174775
1654618538418152192,52.31541932,4.953325106,0.328830882,0.9773796,308.690992,4.802795476,4.802795476
1654618539418179072,52.31543121,4.953309637,0.853657009,1.223737049,336.2913919,4.801801762,4.801801762
1654618540418203136,52.31543688,4.953283432,0.589316098,1.37444006,312.3187658,4.807140748,4.807140748
1654618541418225920,52.31543515,4.953267222,0.734917749,1.10619121,304.8953465,4.812257551,4.812257551
1654618542418247936,52.31543745,4.953242139,1.373110102,1.06075691,307.4551819,4.815727293,4.815727293
1654618543418267904,52.31544231,4.953232054,1.198490002,1.183641558,322.7347979,4.81279591,4.81279591
1654618544418287104,52.31543766,4.953210931,0.994511908,1.068418575,313.8361544,4.814978496,4.814978496
1654618545418304000,52.31543649,4.953188496,1.274962588,0.990492622,310.8413219,4.816369829,4.816369829
1654618546418320128,52.31544048,4.953182455,1.285716881,0.995946285,319.4406231,4.810752553,4.810752553
1654618547418336000,52.31544798,4.953173232,1.419908567,0.808804884,328.6426604,4.814349323,4.814349323
1654618548418351104,52.31544566,4.953159054,2.293548902,0.721790834,305.9700495,4.814073393,4.814073393
