Time (s),X (µT),Y (µT),Z (µT)
1654618487988156672,12.18688965,-3.423408508,-42.37091064
1654618487998089728,12.13973999,-3.48841095,-41.99633789
1654618488008021760,12.43869019,-3.26612854,-42.28808594
1654618488017954816,12.51673889,-2.99382019,-42.66418457
1654618488027887872,12.54205322,-2.849945068,-42.38964844
1654618488037819904,12.39447021,-2.456069946,-42.12316895
1654618488047752960,12.64070129,-1.829849243,-41.97949219
1654618488057684992,12.58782959,-1.640426636,-41.86914062
1654618488067617792,12.62211609,-1.269340515,-42.12402344
1654618488077550848,12.75660706,-0.722648621,-42.20428467
1654618488087482880,12.80776978,-0.259162903,-42.45275879
1654618488097415936,12.7063446,0.028091431,-42.24133301
1654618488107348992,12.71824646,0.564071655,-42.11712646
1654618488117280768,12.47615051,0.76449585,-42.35791016
1654618488127213824,12.67315674,0.965461731,-42.09527588
1654618488137146880,12.77787781,0.8543396,-42.08007812
1654618488147078656,13.25210571,0.52432251,-41.74884033
1654618488157011712,13.29347229,0.289054871,-41.83398438
1654618488166944768,13.44903564,0.148742676,-41.42266846
1654618488176876800,13.30865479,-0.201980591,-41.53594971
1654618488186809856,13.07223511,-0.213592529,-41.20001221
1654618488196741888,13.12397766,-0.044113159,-41.59075928
1654618488206674688,13.1615448,0.371276856,-41.93115234
1654618488216607744,13.26951599,1.01361084,-42.13116455
1654618488226543104,13.15010071,1.591278076,-41.82299805
1654618488236476160,12.97749329,1.634132385,-41.40539551
1654618488246409216,12.80111694,2.195846558,-41.69592285
1654618488256341248,12.78250122,2.552268982,-41.47570801
1654618488266274304,12.7170105,3.012138367,-41.79046631
1654618488276207104,12.48684692,2.645980835,-41.54138184
1654618488286139136,12.81300354,2.810653687,-41.89111328
1654618488296072192,12.75874329,3.030776978,-41.73431396
1654618488306005248,12.85194397,3.155540466,-41.27331543
1654618488315937280,13.19529724,3.218940735,-41.38952637
1654618488325870336,13.33653259,3.407463074,-41.387146
1654618488335802112,13.71264648,3.198684692,-41.27709961
1654618488345735168,13.94380188,3.65435791,-41.54577637
1654618488355667968,14.54214478,3.928909302,-41.14306641
1654618488365600000,14.6988678,4.031471252,-41.20037842
1654618488375533056,14.74349976,3.479194641,-41.33679199
1654618488385466112,15.1700592,3.264533997,-40.67614746
1654618488395398144,15.16801453,3.20500946,-40.51177979
1654618488405331200,15.15805054,3.169372559,-40.81896973
1654618488415264256,15.34355164,3.443595886,-40.75982666
1654618488425196288,15.85566711,3.810653687,-40.4855957
1654618488435129088,16.16885376,4.121284485,-40.66577148
1654618488445062144,16.66572571,4.51953125,-40.14221191
1654618488454994176,16.71783447,4.738883972,-39.75524902
1654618488464927232,17.14654541,4.808792114,-39.70910645
1654618488474859264,17.70199585,5.112854004,-39.23999023
1654618488484792320,18.32223511,5.113647461,-39.33892822
1654618488494725120,18.62609863,5.118141174,-38.9239502
1654618488504657152,18.99537659,4.923736572,-39.04705811
1654618488514590208,19.17672729,4.767326355,-38.70257568
1654618488524523264,19.31661987,4.886177063,-38.29516602
1654618488534455040,19.67562866,4.935165405,-38.2210083
1654618488544388096,19.87969971,5.638557434,-38.10437012
1654618488554321152,19.7351532,6.00213623,-38.22680664
1654618488564253184,19.67851257,6.552337646,-38.00335693
1654618488574185984,19.4683075,7.060211182,-37.81451416
1654618488584118016,19.33827209,7.973197937,-38.23883057
1654618488594051072,19.33279419,8.367973328,-37.58581543
1654618488603984128,18.91627502,8.92048645,-38.09020996
1654618488613916160,18.68704224,9.671043396,-37.93994141
1654618488623849216,18.56062317,10.27185822,-38.14056396
1654618488633782272,18.64373779,10.79454041,-37.64691162
1654618488643714304,18.93429565,11.4526825,-37.80163574
1654618488653647104,18.43745422,11.45717621,-37.62225342
1654618488663580160,18.26066589,12.01347351,-38.13366699
1654618488673512192,18.15713501,11.81894684,-38.52923584
1654618488683445248,18.18275452,11.7232132,-38.37866211
1654618488693378304,17.77529907,11.38104248,-38.06677246
1654618488703310336,17.70954895,11.6550827,-38.29974365
1654618488713243136,17.60638428,11.75984192,-37.7756958
1654618488723175168,17.57176208,11.9463501,-37.86737061
1654618488733108224,17.46417236,12.2470932,-37.87304688
1654618488743041280,17.52432251,12.14614105,-38.00567627
1654618488752973056,17.49404907,12.15226746,-38.0123291
1654618488762906112,17.41748047,12.2098999,-38.25146484
1654618488772839168,17.38516235,11.9016571,-38.29266357
1654618488782771200,17.29412842,11.90500641,-38.21466064
1654618488792704000,17.14079285,11.82046509,-38.13195801
1654618488802637056,17.41795349,11.48348236,-37.8170166
1654618488812569088,17.7562561,11.47544098,-37.91400146
1654618488822502144,17.71128845,11.13337708,-37.86730957
1654618488832434176,17.52445984,10.29885864,-37.99389648
1654618488842367232,17.84875488,10.12007904,-38.27410889
1654618488852300288,17.76052856,9.808784485,-38.51611328
1654618488862232320,17.6517334,9.37286377,-38.76293945
1654618488872165120,17.12255859,8.941101074,-38.76513672
1654618488882098176,17.1817627,8.761535645,-38.84783936
1654618488892030208,17.11279297,8.696800232,-38.98199463
1654618488901963264,16.92308044,8.305519104,-39.37060547
