Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654618673361569024,52.32157524,4.954475971,-0.497977734,-1,-1,11.98828274,11.98828274
1654618673899208704,52.32157524,4.954475971,-0.49617815,-1,-1,11.98828274,11.98828274
1654618679955557120,52.32157524,4.954475971,-0.493442059,-1,-1,11.98828274,11.98828274
1654618680461699840,52.32157524,4.954475971,-0.497702599,-1,-1,11.98828274,11.98828274
1654618686476316928,52.32157524,4.954475971,-0.494325638,-1,-1,11.98828274,11.98828274
1654618687010958080,52.32157524,4.954475971,-0.49514246,-1,-1,11.98828274,11.98828274
1654618693113658880,52.32157524,4.954475971,-0.492844105,-1,-1,11.98828274,11.98828274
1654618693644931072,52.32157524,4.954475971,-0.496403694,-1,-1,11.98828274,11.98828274
1654618699700387072,52.32157524,4.954475971,-0.493569851,-1,-1,11.98828274,11.98828274
1654618700237286912,52.32157524,4.954475971,-0.495976448,-1,-1,11.98828274,11.98828274
1654618706282129920,52.32157524,4.954475971,-0.493329525,-1,-1,11.98828274,11.98828274
1654618706809964032,52.32157524,4.954475971,-0.494475842,-1,-1,11.98828274,11.98828274
1654618712844798720,52.32157524,4.954475971,-0.492479324,-1,-1,11.98828274,11.98828274
1654618713363557888,52.32157524,4.954475971,-0.497425556,-1,-1,11.98828274,11.98828274
1654618719372229888,52.32157524,4.954475971,-0.494171619,-1,-1,11.98828274,11.98828274
1654618719905528832,52.32157524,4.954475971,-0.493461132,-1,-1,11.98828274,11.98828274
1654618721588404992,52.32157524,4.954475971,-0.494136334,-1,-1,11.98828274,11.98828274
1654618727615122688,52.32157524,4.954475971,-0.492283821,-1,-1,11.98828274,11.98828274
1654618728148876800,52.32157524,4.954475971,-0.493661881,-1,-1,11.98828274,11.98828274
1654618734188568064,52.32157524,4.954475971,-0.492009163,-1,-1,11.98828274,11.98828274
1654618734721923072,52.32157524,4.954475971,-0.491562843,-1,-1,11.98828274,11.98828274
1654618740750230784,52.32157524,4.954475971,-0.490803242,-1,-1,11.98828274,11.98828274
1654618741283276800,52.32157524,4.954475971,-0.493290424,-1,-1,11.98828274,11.98828274
1654618747317127936,52.32157524,4.954475971,-0.491792202,-1,-1,11.98828274,11.98828274
1654618747847280896,52.32157524,4.954475971,-0.494720936,-1,-1,11.98828274,11.98828274
1654618753878984960,52.32157524,4.954475971,-0.492613792,-1,-1,11.98828274,11.98828274
1654618754409274112,52.32157524,4.954475971,-0.49467516,-1,-1,11.98828274,11.98828274
1654618760428050944,52.32157524,4.954475971,-0.49258709,-1,-1,11.98828274,11.98828274
1654618760969625088,52.32157524,4.954475971,-0.493805885,-1,-1,11.98828274,11.98828274
1654618765112400896,52.32157524,4.954475971,-0.496486664,-1,-1,11.98828274,11.98828274
1654618771180396800,52.32157524,4.954475971,-0.493479729,-1,-1,11.98828274,11.98828274
1654618771724278016,52.32157524,4.954475971,-0.495380402,-1,-1,11.98828274,11.98828274
1654618777744905984,52.32157524,4.954475971,-0.492970467,-1,-1,11.98828274,11.98828274
1654618778276478976,52.32157524,4.954475971,-0.494177342,-1,-1,11.98828274,11.98828274
1654618784328615936,52.32157524,4.954475971,-0.49230051,-1,-1,11.98828274,11.98828274
1654618784845079040,52.32157524,4.954475971,-0.491214275,-1,-1,11.98828274,11.98828274
1654618786528430848,52.32157524,4.954475971,-0.490995407,-1,-1,11.98828274,11.98828274
1654618792647394048,52.32157524,4.954475971,-0.490450382,-1,-1,11.98828274,11.98828274
