Time (s);Distance (cm)
0,003880875;5
90,35462004;0
90,47428442;5
105,1709545;0
106,2635715;5
140,9976577;0
141,2248047;5
187,3490058;0
187,5759391;5
187,9408383;0
190,4355909;5
270,0831497;0
270,202584;5
270,8194384;0
275,456792;5
