Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (°)
56,29708076;52,32020078;4,955760333;-2,141002959;3,001020468;149,713959;4,77274634;4,77274634
57,29703391;52,32018024;4,95577676;-1,861973827;2,811740272;150,1395127;4,7758644;4,7758644
58,29699039;52,3201528;4,955801704;-1,762137038;3,1483962;146,4019336;4,775403924;4,775403924
59,29694736;52,32012306;4,955817955;-1,415559407;2,982447161;150,8639485;4,767933852;4,767933852
60,29690754;52,32008721;4,955828828;-1,410683438;3,211234101;160,3349316;4,768547838;4,768547838
61,29687035;52,32006852;4,955853345;-0,872792865;2,813415452;150,6915606;4,768935062;4,768935062
62,29683447;52,32004998;4,955880991;-0,550702163;2,666515351;148,6013914;4,767083273;4,767083273
63,29680121;52,32002811;4,955901595;-0,054819817;2,770182541;151,7542412;4,768838102;4,768838102
64,29676926;52,32000146;4,955915426;-0,423160271;2,880619909;156,3359479;4,765413339;4,765413339
65,29673827;52,31997228;4,955932703;-0,606789617;2,889120229;152,5875405;4,765161795;4,765161795
66,29671156;52,31994986;4,955959446;-1,049173162;2,886335582;146,4471828;4,76140957;4,76140957
67,29668283;52,31992639;4,955985201;-1,354993368;2,852190665;148,5274412;4,7630909;4,7630909
68,2966578;52,31990932;4,956011797;-1,359250973;2,552324662;143,7040091;4,771003945;4,771003945
69,29663253;52,3198905;4,9560293;-1,758736144;2,493669877;155,7709881;4,766663091;4,766663091
70,29660857;52,31987463;4,956044048;-1,447018656;2,122443053;151,7184285;4,768403052;4,768403052
71,29658592;52,31985498;4,956071399;-1,566410268;2,475107779;143,8455388;4,776168234;4,776168234
72,29656518;52,31983724;4,956096174;-1,320479341;2,439317436;143,4552101;4,77780794;4,77780794
73,29654431;52,31980568;4,956119294;-2,11411899;2,941941339;153,196584;4,773543306;4,773543306
74,2965256;52,31977835;4,956141219;-1,985280421;2,610795648;150,4610135;4,77171842;4,77171842
75,29650652;52,31975596;4,956163259;-2,656542715;2,449539506;153,96554;4,777411056;4,777411056
76,296489;52,31972428;4,956188212;-3,440562713;2,816899699;152,2174401;4,771851298;4,771851298
77,29647195;52,31969869;4,956210254;-3,77791964;2,691559636;152,0837258;4,773123033;4,773123033
78,2964561;52,31967502;4,956239224;-3,503797806;2,883407793;145,6130996;4,777186699;4,777186699
79,29644072;52,31964638;4,956260484;-2,811068487;2,912047445;152,2239554;4,774066557;4,774066557
80,29642546;52,31961911;4,956280911;-2,822330999;2,71012558;152,563513;4,772184804;4,772184804
81,29641056;52,31958918;4,956308801;-2,509233735;3,077951367;151,7738768;4,773372128;4,773372128
82,29639697;52,31956196;4,956334809;-3,135530749;3,028009998;156,9320888;4,770118068;4,770118068
83,2963841;52,31954064;4,956352941;-3,450555256;2,823112437;151,8286469;4,768380513;4,768380513
84,29637253;52,31951573;4,956376548;-3,092838967;2,780159327;153,9303557;4,77022058;4,77022058
85,29635811;52,31949229;4,956415181;-3,633488815;3,043189862;146,5283092;4,774297346;4,774297346
86,29634571;52,31946682;4,95642786;-2,920471774;2,897297185;153,6459883;4,771765415;4,771765415
87,29633451;52,3194396;4,956446074;-3,075749238;3,113955778;154,2588923;4,767847408;4,767847408
88,29632235;52,31941559;4,956464248;-3,103534674;2,700388456;154,9019221;4,758670092;4,758670092
89,29631257;52,31938349;4,956489379;-3,103529806;3,178454999;156,3283113;4,760289712;4,760289712
90,29630077;52,31935952;4,956520638;-3,88903073;2,927761934;147,8097223;4,76003118;4,76003118
91,29629087;52,31933833;4,956539877;-4,387874888;2,776061168;148,2256782;4,763861527;4,763861527
92,29628015;52,31930949;4,956563952;-4,642746175;2,822238653;156,8157281;4,762905046;4,762905046
93,29627156;52,31928731;4,956586864;-4,977934;2,71467177;148,0576128;4,765001888;4,765001888
94,29626191;52,31925825;4,956609997;-5,154352633;3,102206757;150,1614623;4,760522229;4,760522229
95,29625237;52,31923734;4,956629391;-4,173920174;2,553538752;147,0923737;4,758967011;4,758967011
96,29624355;52,3192142;4,956649877;-3,659098777;2,486346618;152,5758629;4,758156445;4,758156445
97,29623485;52,31918555;4,956682268;-2,987183569;3,022475233;144,9986883;4,756615648;4,756615648
98,29622531;52,31915345;4,956704199;-2,904718027;3,161121765;154,7082798;4,757388744;4,757388744
99,2962184;52,31912744;4,956720894;-2,736632532;2,982097643;153,7042713;4,76125411;4,76125411
100,2962089;52,31910342;4,956739362;-3,016834032;2,987619513;151,556638;4,755931445;4,755931445
101,2962008;52,31908508;4,956761746;-3,392665852;2,540634904;146,9966252;4,75902376;4,75902376
102,2961937;52,31905825;4,956783396;-3,217994452;2,848649451;151,394324;4,766090433;4,766090433
103,2961848;52,31903323;4,956808877;-3,715337515;2,874505474;148,5450851;4,767985285;4,767985285
104,2961775;52,31900908;4,956840156;-3,842255986;2,250298407;148,6307017;4,76670314;4,76670314
105,2961698;52,318993;4,956850862;-5,033500085;1,993532905;157,3645396;4,770683625;4,770683625
106,2961627;52,31897771;4,956870609;-5,137511175;2,163577252;154,0814123;4,776822324;4,776822324
107,2961549;52,31895022;4,956907804;-5,586554633;2,56424818;149,8039402;4,763854494;4,763854494
108,2961476;52,3189334;4,956901536;-5,762893;1,702578225;170,4492791;4,759043057;4,759043057
109,2961402;52,31891063;4,956904867;-6,041118211;2,135034172;174,3652591;4,758749365;4,758749365
110,2961341;52,31886818;4,956929119;-5,142967072;3,829009103;165,0965113;4,768340345;4,768340345
111,2961268;52,3188452;4,956966675;-4,551816453;2,453400604;161,555802;4,758928552;4,758928552
112,296119;52,31882164;4,956986121;-3,630623351;2,460358537;162,1306699;4,756837312;4,756837312
113,2961129;52,31879012;4,957017381;-3,194433449;3,093549657;153,5998128;4,760232657;4,760232657
114,2961066;52,31876056;4,95704117;-2,688182782;3,242004226;149,8231108;4,759506194;4,759506194
115,2960988;52,31873614;4,957059867;-2,796064485;3,038816263;151,1290887;4,759766298;4,759766298
116,2960933;52,318714;4,957067686;-2,94590838;2,370546384;154,1885169;4,763298526;4,763298526
117,2960861;52,3186863;4,95709996;-2,351316858;3,099077578;144,9278182;4,76276644;4,76276644
118,296079;52,31865831;4,957128589;-2,308992468;3,327109448;150,6356726;4,763875151;4,763875151
119,2960726;52,31863848;4,957140498;-3,567661754;2,73379344;158,7219306;4,768601774;4,768601774
120,2960669;52,31860989;4,957172302;-3,40112604;3,24974373;149,5142295;4,768216576;4,768216576
121,296061;52,31858601;4,957205015;-2,698885601;3,102759447;144,9885207;4,765975727;4,765975727
122,2960539;52,31856751;4,957217644;-2,25300676;2,617449399;155,700908;4,76730882;4,76730882
123,2960483;52,31854618;4,95723709;-2,527808225;2,745291429;152,9926425;4,771393115;4,771393115
124,296042;52,31851758;4,957274903;-2,132591765;3,377782364;143,9892478;4,770587896;4,770587896
125,2960354;52,31849699;4,957292953;-2,125999287;3,021880565;147,7424352;4,777087198;4,777087198
126,2960297;52,31847631;4,957309323;-2,21210079;2,840888775;146,4386031;4,783811176;4,783811176
127,2960235;52,31845655;4,957322691;-2,00674047;3,160473039;152,7007381;4,783346702;4,783346702
128,2960174;52,31843538;4,95735788;-1,996326796;3,324904446;148,1935326;4,786704753;4,786704753
129,2960105;52,31841077;4,957373434;-1,852986533;3,007498235;155,5800956;4,794642896;4,794642896
130,2960041;52,31838375;4,957394533;-0,897923064;3,139796006;151,049973;4,798718113;4,798718113
131,2959982;52,31835545;4,957410725;-0,897556922;3,220171252;156,1933679;4,798732279;4,798732279
132,2960811;52,31833362;4,957437218;-1,46677921;2,82598403;156,5903457;4,80286077;4,80286077
133,296083;52,3183126;4,957463433;-1,909420774;2,76582958;154,9206207;4,799695333;4,799695333
134,296085;52,31828818;4,957505276;-1,620153823;3,038894822;148,4105756;4,808334868;4,808334868
135,2960896;52,31827096;4,957538857;-2,064480244;2,962324151;146,4385076;4,80489367;4,80489367
