Time (s);X (rad/s);Y (rad/s);Z (rad/s)
1,043071167;-0,175304219;-0,122595772;-0,10900902
1,053003167;-0,167303532;-0,167608947;-0,07597921
1,062934167;-0,169543251;-0,156581596;-0,059830602
1,072865167;-0,155910254;-0,100402474;-0,050808344
1,082797167;-0,138476402;-0,089052886;-0,06610927
1,092728167;-0,144299984;-0,08357361;-0,079186708
1,102660167;-0,183195174;-0,087600842;-0,104374088
1,112591167;-0,224886268;-0,105594471;-0,137267083
1,122522167;-0,233346328;-0,162804231;-0,165504843
1,132454167;-0,211733386;-0,239824638;-0,157062531
1,142385167;-0,18383491;-0,280884445;-0,110840164
1,152317167;-0,166449189;-0,262517601;-0,070879787
1,162248167;-0,140691891;-0,201906204;-0,075868689
1,172179167;-0,095319949;-0,12215393;-0,088486396
1,182111167;-0,061757728;-0,07523676;-0,097442873
1,192042167;-0,06599851;-0,074007846;-0,084882654
1,201973167;-0,094196327;-0,107602023;-0,066513501
1,211905167;-0,124062538;-0,135884345;-0,064452291
1,221836167;-0,145286873;-0,158487126;-0,0951612
1,231768167;-0,16378668;-0,152038544;-0,13806355
1,241699167;-0,157526657;-0,147107974;-0,171239346
1,251630167;-0,136025101;-0,144806802;-0,181136504
1,261562167;-0,109449938;-0,139684483;-0,161097542
1,271493167;-0,068504825;-0,15512982;-0,123205304
1,281425167;-0,011841808;-0,179936633;-0,072406039
1,291356167;0,048126262;-0,19908686;-0,027431235
1,301287167;0,075360805;-0,180352062;0,005196483
1,311219167;0,071198747;-0,152470753;0,006889504
1,321150167;0,040175311;-0,117857657;-0,017545
1,331082167;-0,003094876;-0,085594237;-0,064423487
1,341013167;-0,045492932;-0,070368677;-0,10846258
1,350944167;-0,065508403;-0,088507503;-0,151772216
1,360875917;-0,05455349;-0,141466856;-0,172605857
1,370806917;-0,008856816;-0,216789991;-0,147339761
1,380738917;0,066632882;-0,289191485;-0,070052706
1,390669917;0,133299142;-0,360707611;0,047307264
1,400600917;0,195831493;-0,389237523;0,145124376
1,410532917;0,240347683;-0,38669008;0,203150332
1,420463917;0,263686031;-0,38026014;0,231349483
1,430395917;0,257799119;-0,375252873;0,262612879
1,440326917;0,274892598;-0,409005761;0,316473186
1,450257917;0,299448848;-0,50526613;0,392421901
1,460189917;0,336819917;-0,638462007;0,52533865
1,470120917;0,382522136;-0,836939335;0,705630183
1,480052917;0,461353034;-1,134280205;0,936356604
1,489983917;0,628693163;-1,562998652;1,197514772
1,499914917;0,885053337;-2,128933907;1,502772689
1,509846917;1,147708297;-2,758530617;1,848370314
1,519777917;1,336584926;-3,279098749;2,243946075
1,529709917;1,401688814;-3,668957233;2,597151995
1,539640917;1,359332681;-3,883390665;2,782885075
1,549571917;1,257737637;-3,970131636;2,779537678
1,559503917;1,122686386;-4,022881031;2,65950489
1,569434917;1,027181268;-4,082637787;2,529718399
1,579366917;0,984345615;-4,16076088;2,468498707
1,589297917;0,944727361;-4,243892193;2,47603941
1,599228917;0,885358572;-4,3113904;2,530893564
1,609160917;0,782037318;-4,2496562;2,629721642
1,619091917;0,60515976;-4,18219471;2,661973476
1,629023917;0,373628497;-4,044234753;2,576099157
1,638954917;0,130148456;-3,81705451;2,372826099
1,648885917;-0,122958526;-3,478086233;2,10282135
1,658817917;-0,308630943;-2,823740721;1,732762218
1,668748917;-0,434873492;-2,219887495;1,287878036
1,678680917;-0,522821188;-1,670265913;0,852971315
