"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654611287984678E9,"2022-06-07 16:14:47.985 UTC+02:00"
"PAUSE",2.886011301250546E2,1.654611576575819E9,"2022-06-07 16:19:36.576 UTC+02:00"
