"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654604953043447E9,"2022-06-07 14:29:13.043 UTC+02:00"
"PAUSE",3.122349626666401E2,1.654605265286393E9,"2022-06-07 14:34:25.286 UTC+02:00"
